N|,"in a medium bowl ,",在一个中等大小的碗里，,"dans un bol moyen,","in einer mittleren Schale,",中ぐらいの大きさのお椀の中で、
A-,"whisk together flour ,",把面粉搅拌在一起，,"mélanger ensemble la farine,","Mehl zusammen rühren,",小麦粉を混ぜる。
A|,"cinnamon ,",肉桂色，,"cannelle,","Zimt,",シナモン色、
A|,"baking soda ,",小苏打，,"le bicarbonate de soude,","Backpulver, Backpulver,",ソーダ
A|,"salt ,",盐，,"sel,","Salz,",塩、
A|,"allspice ,",多香果，,"le piment de la jamaïque,","allspice,",多香果、
A|,"nutmeg ,",肉豆蔻，,"muscade,","Muskatnuss,",ナツメグ、
A|,and cloves .,还有丁香。,et les clous de girofle.,und Klee.,ライラックもあります。
N|,"in a large bowl ,",在一个大碗里，,"dans un grand bol,","in einer großen Schüssel,",大きな鉢の中で、
A-,"whisk together brown sugar ,",把红糖搅拌在一起，,"fouetter le sucre brun,","zusammen braunen Zucker rühren,",黒糖をかき混ぜる。
A|,"stevia ,",甜菊糖，,"le stévia,","stevia,",キャラメル、
A|,"molasses ,",糖蜜，,"mélasses,","Melasse,",糖蜜、
A|,"applesauce ,",苹果酱，,"compote de pommes,","Apfelmus,",リンゴジャム、
A|,"ginger ,",生姜，,"ginger,","Ingwer,",生姜、
A|,and egg .,还有鸡蛋。,et l'œuf.,und Ei.,卵もあります。
A-,fold dry ingredients into wet ingredients just *,把干的原料折叠成湿的原料。*,pliez les ingrédients secs dans les ingrédients humides seulement *,Trockene Zutaten in feuchte Zutaten einfach *falten,乾いた原料を湿らせた原料に折り畳む。
N-,until combined .,直到合并。,jusqu'au combiné.,bis kombiniert.,合併するまで。
A-,cover *,封面*,couvrir *,Deckel *,カバー*
A-,and refrigerate at least 1 hour .,冷藏至少1小时。,et mettre au réfrigérateur au moins 1 heure.,und mindestens eine Stunde im Kühlschrank lagern.,冷蔵は少なくとも1時間です。
A-,preheat oven to 350 degrees f .,把烤箱预热到华氏350度。,préchauffer le four à 350 degrés f.,vorgewärmter Ofen bis 350 Grad f.,オーブンを華氏350度に予熱する。
A-,line a large baking sheet with parchment paper .,用羊皮纸在一张大烤盘上划线。,la ligne une grande plaque avec un papier parchemin.,ein großes Backblech mit Pergamentpapier säubern.,羊の皮の紙を使って大きなフライパンに線を引く。
A-,use a tablespoon to scoop out dough .,用大汤匙把面团舀出来。,utiliser une cuillère pour ramasser l'argent.,"Verwenden Sie einen Esslöffel, um den Teig auszugraben.",大きなスプーンで生地をすくう。
A-,roll dough into balls .,把面团滚成球。,étaler la pâte en couilles.,Teig in Bälle wälzen.,ボールに丸めて転がす。
A-,place on the baking sheet 1 inch apart .,放在烤盘上，相距1英寸。,sur la plaque de 1 pouce.,auf das Backblech einen Zoll auseinander stellen.,オーブンプレートに置いて、1インチ離れています。
A-,very slightly flatten cookies with your palm .,用手掌轻轻地压平饼干。,très légèrement aplatis biscuits avec la paume de la main.,sehr leicht flache Kekse mit Ihrer Palme.,クッキーを手のひらで軽くおさえます。
A-,bake *,烘焙*,cuire *,backen *,ほうじる
N-,until puffy *,直到肿胀*,jusqu'à ce que puffy *,bis puffy *,腫れるまで
N|,"and set ,",设置，,"et ensemble,","und setzen,",設定します
N|,12 to 15 minutes .,12到15分钟。,12 à 15 minutes.,12 bis 15 Minuten.,12分から15分です。
A-,let cool completely .,完全冷却。,laisser refroidir complètement.,vollständig abkühlen lassen.,完全に冷却する。
N|,"for frosting ,",对于霜冻，,pour le glaçage.,"für Frost,",霜に対して，
N|,in a large bowl *,在一个大碗里*,dans un grand bol *,in einer großen Schüssel *,大きな鉢に*
N|,"or the bowl of a stand mixer fitted with the paddle attachment ,",或安装有桨式附件的立式搅拌机的碗，,"ou le bol d'un mixeur équipé de la pagaie attachment,","oder die Schüssel eines Standmischers, der mit dem Paddel befestigt ist,",またはオールの付属品を取り付けた立式ミキサーのボウル、
A-,beat cream cheese on medium speed *,中速搅乳酪*,battre le fromage à la crème à vitesse moyenne *,cremekäse auf mittlerer Geschwindigkeit *,中速かき混ぜチーズ*
N-,until very smooth .,直到非常光滑。,jusqu'à très bon.,bis sehr glatt.,非常に滑らかになります。
